Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,497,87.396,0.818,34.67,146.768
2,2532,200.496,0.792,75.186,76.149
3,19,37.637,0.169,19.105,137.121
4,22,52.615,0.1,43.417,51.546
5,30,36.621,0.281,17.889,26.565
6,510,84.064,0.907,29.411,125.311
7,895,127.158,0.696,43.012,72.408
8,565,92.663,0.827,36.056,123.69
9,958,121.145,0.82,43.139,44.061
10,544,85.27,0.94,29.411,107.819
11,623,105.286,0.706,42.379,109.29
12,697,98.026,0.911,33.615,59.621
13,482,80.271,0.94,26.833,26.565
14,1003,125.818,0.796,48.508,75.677
15,468,87.856,0.762,32.45,123.69
16,78,64.087,0.239,21.401,127.405
17,2319,196.244,0.757,70.456,145.408
18,42,50.909,0.204,21.932,24.228
19,331,70.886,0.828,24.839,130.101
20,857,111.529,0.866,37.121,27.255
21,284,60.62,0.971,22.472,110.854
22,201,60.945,0.68,25.71,103.496
23,413,78.28,0.847,27.459,100.491
24,621,94.56,0.873,34.785,71.565
25,797,113.1,0.783,44.385,112.521
26,1380,155.64,0.716,53.852,105.068
27,468,81.612,0.883,28.443,100.125
28,484,91.553,0.726,38.079,119.932
29,674,96.13,0.917,33.377,98.616
30,28,40.088,0.219,18.385,67.62
31,1546,154.299,0.816,52.953,169.114
32,466,79.811,0.919,28.792,110.323
33,564,94.004,0.802,33.302,41.348
34,571,94.655,0.801,32.802,127.569
35,697,112.41,0.693,43.417,75.324
36,474,83.278,0.859,28.231,67.068
37,326,70.886,0.815,26.42,119.476
38,498,90.172,0.77,32.202,115.769
39,390,78.605,0.793,28.46,108.435
40,541,89.197,0.854,31.401,80.838
41,20,41.199,0.148,20.396,78.69
42,236,58.169,0.876,19.849,49.086
43,24,55.011,0.1,37.643,39.611
44,1089,139.551,0.703,56.824,118.369
45,366,73.012,0.863,27.203,126.027
46,919,118.194,0.827,41.037,46.975
47,769,110.514,0.791,37.162,66.194
48,536,90.863,0.816,34.54,67.891
49,2559,213.808,0.703,76.485,168.69
50,371,76.709,0.792,28.792,159.677
51,559,87.3,0.922,30.594,168.69
52,1140,131.966,0.823,44.418,31.185
53,670,99.463,0.851,34.713,78.366
54,467,85.174,0.809,33.838,124.16
55,742,109.403,0.779,38.013,153.435
56,339,75.924,0.739,25.807,125.538
57,437,78.375,0.894,28.862,104.036
58,303,67.419,0.838,23.601,126.384
59,324,69.775,0.836,25.239,123.69
60,414,78.145,0.852,28.16,106.504
61,52,78.74,0.105,38.626,68.749
62,17,39.993,0.134,39.623,47.045
63,31,57.423,0.118,40.853,21.541
64,322,72.457,0.771,27.459,100.491
65,539,87.53,0.884,29.833,103.57
66,626,97.566,0.826,32.65,40.03
67,3885,282.568,0.611,101.592,159.246
68,441,78.375,0.902,28.443,79.875
69,450,77.36,0.945,25.962,74.358
70,881,112.085,0.881,37.336,110.376
71,663,104.826,0.758,41.34,122.152
72,679,100.478,0.845,33.242,15.709
73,991,123.882,0.811,46.043,34.38
74,508,84.714,0.89,30,143.13
75,492,84.064,0.875,29.206,141.953
76,720,107.507,0.783,42.953,102.095
77,480,80.367,0.934,28.792,20.323
78,355,70.331,0.902,26.476,169.114
79,308,65.198,0.911,23.087,162.35
80,461,81.612,0.87,31.048,165.069
81,854,123.596,0.703,50.249,5.711
82,17,29.592,0.244,18.439,130.601
83,1531,165.12,0.706,60.902,29.511
84,605,99.597,0.766,37.656,169.287
85,819,118.558,0.732,49.649,145.67
86,622,103.485,0.73,33.734,11.976
87,526,86.84,0.877,30.232,145.784
88,889,118.003,0.802,40.025,77.005
89,880,117.313,0.804,47.011,156.161
90,1085,134.878,0.749,48.508,98.297
91,447,82.397,0.827,26.683,102.995
92,455,85.174,0.788,30.887,150.945
93,296,64.087,0.906,23.409,109.983
94,414,82.072,0.772,29.411,35.311
95,631,94.885,0.881,31.401,37.235
96,1260,138.995,0.82,52.01,142.028
97,344,67.419,0.951,23.601,53.616
98,53,56.732,0.207,21.587,166.608
99,951,115.417,0.897,41.869,40.156
100,1320,141.217,0.832,46.4,142.883
101,675,100.803,0.835,35.171,104.826
102,970,122.581,0.811,40.853,21.541
103,844,118.328,0.757,39.395,66.038
104,1030,123.041,0.855,46.174,4.97
105,1470,154.815,0.771,61.4,149.676
106,733,113.425,0.716,45.277,96.34
107,461,84.159,0.818,29.069,139.185
108,382,74.028,0.876,25.298,161.565
109,509,82.858,0.932,31.048,75.069
110,772,105.936,0.864,35.468,49.574
111,678,100.153,0.849,36.056,33.69
112,569,87.07,0.943,30.017,119.982
113,1075,129.61,0.804,46.872,168.93
114,452,78.7,0.917,28.443,100.125
115,1174,132.387,0.842,48.415,51.71
116,1422,170.674,0.613,67.231,120.379
117,640,102.279,0.769,39.812,78.408
118,700,98.907,0.899,34.655,43.831
119,1082,129.285,0.813,46.098,3.731
120,380,78.145,0.782,30.594,78.69
121,418,78.28,0.857,28.443,100.125
122,2715,215.379,0.735,83.295,85.179
123,1802,172.475,0.761,66.888,121.551
124,941,121.795,0.797,46.648,30.964
125,893,114.076,0.862,44.283,173.517
126,379,81.382,0.719,28.636,77.905
127,327,70.886,0.818,23.854,146.976
128,1142,129.15,0.86,44.385,75.651
129,461,85.634,0.79,31.906,32.196
130,572,90.767,0.872,29.732,70.346
131,722,103.81,0.842,38.079,119.932
132,385,75.694,0.844,29.155,112.166
133,359,73.567,0.834,29.682,57.381
134,651,99.137,0.832,38.013,35.362
135,712,103.159,0.841,37.656,100.713
136,1636,166.231,0.744,62.801,80.838
137,437,77.915,0.905,28.792,20.323
138,392,73.242,0.918,25.239,56.31
139,579,91.878,0.862,36.139,75.579
140,605,102.374,0.725,42.544,23.552
141,440,78.796,0.891,29.069,116.565
142,439,87.53,0.72,32.65,49.97
143,263,66.768,0.741,27.459,56.889
144,300,63.722,0.928,25.495,138.18
145,720,103.39,0.846,36.139,165.579
146,378,75.464,0.834,26.42,119.476
147,65,83.778,0.116,37.802,37.476
148,1139,141.542,0.714,48.836,42.51
149,711,102.239,0.855,39.623,10.176
150,1711,161.423,0.825,55.57,59.744
151,20,32.273,0.241,17,28.072
152,998,121.605,0.848,44.911,101.56
153,633,95.115,0.879,33.526,72.646
154,985,125.492,0.786,44.777,66.297
155,786,115.552,0.74,40.311,97.125
156,1453,181.86,0.552,71.12,117.646
157,456,79.811,0.9,27.803,127.694
158,1502,169.754,0.655,70.711,81.87
159,782,104.596,0.898,37.483,133.919
160,1989,180.059,0.771,68.819,54.462
161,534,87.205,0.882,31.257,172.648
162,2092,185.232,0.766,67.119,61.526
163,536,90.537,0.822,31.78,102.724
164,335,68.76,0.89,24.739,75.964
165,554,85.96,0.942,30.806,103.134
166,228,55.812,0.92,21.26,131.186
167,594,93.544,0.853,32.202,36.158
168,692,107.277,0.756,34.409,54.462
169,880,112.085,0.88,40.853,21.541
170,827,108.197,0.888,40.311,172.875
171,569,101.589,0.693,37.947,108.435
172,608,97.566,0.803,35.511,147.653
173,3222,247.613,0.66,86.764,64.026
174,589,100.343,0.735,42.942,117.759
175,977,119.669,0.857,42.72,147.426
176,483,84.619,0.848,30.61,51.633
177,651,100.478,0.81,37.696,21.801
178,565,91.323,0.851,34.54,112.109
179,856,122.446,0.717,44.654,124.046
180,601,93.544,0.863,34.886,62.7
181,907,114.766,0.865,39.217,70.641
182,455,82.072,0.849,30.594,101.31
183,847,113.886,0.821,43.909,59.931
184,870,110.189,0.9,38.897,72.031
185,407,75.694,0.893,25.179,83.157
186,599,94.655,0.84,37.216,83.83
187,552,90.212,0.852,29.833,76.43
188,381,74.543,0.862,27.019,51.009
189,277,65.293,0.817,24.187,119.745
190,590,92.108,0.874,33.615,149.621
191,184,55.027,0.764,23.022,124.38
192,425,76.9,0.903,27.785,149.744
193,745,109.078,0.787,37.855,12.2
194,830,116.337,0.771,44.102,3.9
195,628,94.33,0.887,34.132,148.173
196,495,85.079,0.859,32.202,25.769
197,2756,224.13,0.689,94.705,21.689
198,630,109.633,0.659,37.121,94.635
199,483,80.137,0.945,29.206,38.047
200,710,115.647,0.667,42.579,170.538
201,1937,179.408,0.756,61.188,78.69
202,619,95.766,0.848,35.609,128.157
203,1407,143.668,0.857,55.444,7.253
204,404,79.716,0.799,30.017,150.018
205,1449,151.617,0.792,59.548,130.914
206,701,103.715,0.819,36.056,56.31
207,679,112.87,0.67,38.639,169.563
208,588,96.686,0.79,39.446,120.466
209,1271,144.453,0.765,54.231,174.71
210,725,104.04,0.842,38.079,166.329
211,725,105.611,0.817,36.249,24.444
212,2586,189.349,0.906,61.847,14.036
213,778,111.204,0.791,37.216,149.3
214,454,80.041,0.891,30.414,80.538
215,561,93.084,0.814,33.422,38.928
216,1196,142.462,0.741,45.31,112.036
217,346,77.264,0.728,29,133.603
218,1248,144.319,0.753,48.26,124.019
219,808,112.87,0.797,44.553,9.039
220,709,102.469,0.849,37.108,14.036
221,404,71.901,0.982,24.698,68.629
222,23,32.829,0.268,12.806,141.34
223,485,85.73,0.829,32.388,171.119
224,1433,162.209,0.684,66.31,113.085
225,444,85.96,0.755,30.48,131.009
226,20,41.754,0.144,24.352,19.179
227,479,85.079,0.832,31.385,157.521
