Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,1772,179.044,0.695,56.223,51.499
2,197,63.492,0.614,27.166,6.34
3,2538,204.383,0.764,76.158,150.068
4,898,116.298,0.834,43.278,139.686
5,990,124.993,0.796,46.487,161.175
6,3158,263.012,0.574,95.802,76.109
7,3383,229.302,0.809,85.703,48.311
8,1394,243.321,0.296,58.258,140.572
9,190,150.927,0.105,56.639,42.138
10,50,100.843,0.062,58.523,56.853
11,53,110.093,0.055,57.489,49.939
12,49,100.287,0.061,53,58.109
13,97,81.477,0.184,40.025,102.995
14,1298,198.695,0.413,85.147,77.106
15,17,33.194,0.194,18.601,53.746
16,1588,191.111,0.546,75,106.26
17,100,101.073,0.123,42.45,46.909
18,3527,276.055,0.582,86.452,138.752
19,1496,191.571,0.512,72.801,69.075
20,1081,139.646,0.697,59.481,73.393
21,4348,302.449,0.597,100.717,83.157
22,1532,163.185,0.723,60.745,110.225
23,69,81.937,0.129,23.022,55.62
24,39,57.938,0.146,21.932,65.772
25,2877,232.769,0.667,81.584,101.31
26,1847,177.148,0.74,55.973,71.241
27,1473,173.26,0.617,58.138,139.185
28,711,114.766,0.678,47.927,66.644
29,911,143.113,0.559,57.07,101.113
30,16,33.519,0.179,22.091,95.194
31,155,86.055,0.263,28.302,147.995
32,42,45.776,0.252,12.728,135
33,1083,133.862,0.759,45.222,71.966
34,67,66.768,0.189,26.683,12.995
35,56,55.162,0.231,17.464,13.241
36,2084,196.053,0.681,67.007,52.275
37,39,52.02,0.181,24.597,63.435
38,1361,173.625,0.567,71.449,46.701
39,949,135.298,0.651,45.607,127.875
40,31,49.703,0.158,18.385,157.62
41,845,139.551,0.545,49.396,58.241
42,884,119.249,0.781,46.043,92.49
43,2355,221.718,0.602,86.145,80.647
44,23,36.066,0.222,23.087,107.65
45,521,89.427,0.819,34.205,52.125
46,822,127.388,0.637,54.378,57.771
47,620,96.456,0.837,34.785,71.565
48,1410,153.053,0.756,52.887,74.65
49,915,119.899,0.8,41.593,152.819
50,3234,235.871,0.73,80.777,31.329
51,1442,151.713,0.787,50.289,17.354
52,1295,152.728,0.698,53.46,82.476
53,23,30.703,0.307,11.402,15.255
54,649,103.715,0.758,41.231,50.906
55,1071,146.024,0.631,55.227,148.325
56,95,81.612,0.179,27.803,52.306
57,1478,181.63,0.563,70.803,143.616
58,983,123.596,0.809,46.011,88.755
59,2136,187.358,0.765,67.119,93.417
60,96,57.708,0.362,20.591,119.055
61,1141,125.588,0.909,41.881,33.311
62,33,51.369,0.157,23.324,30.964
63,620,94.004,0.882,31.048,14.931
64,1071,148.341,0.612,48.826,145.008
65,46,46.792,0.264,18.028,123.69
66,122,89.657,0.191,32.28,106.189
67,1139,129.84,0.849,46.098,77.471
68,101,119.669,0.089,29.614,101.689
69,26,47.442,0.145,27.785,59.744
70,850,116.202,0.791,44.011,21.318
71,108,75.598,0.237,19.416,168.111
72,664,111.204,0.675,33.956,13.627
73,30,65.927,0.087,38.484,155.433
74,962,135.298,0.66,54.129,11.725
75,15,34.725,0.156,25.495,11.31
76,1401,147.23,0.812,54.231,22.782
77,1791,183.526,0.668,70.434,38.66
78,1347,146.905,0.784,55.543,166.464
79,1692,156.846,0.864,58.249,168.111
80,1287,162.725,0.611,68.884,166.569
81,1075,126.468,0.845,45.541,171.158
82,183,93.774,0.262,24.597,63.435
83,1830,169.373,0.802,56.613,162.525
84,32,36.066,0.309,17.464,103.241
85,1558,175.902,0.633,70.937,21.501
86,519,88.181,0.839,32.696,66.571
87,29,52.25,0.133,35.114,19.983
88,99,36.621,0.928,15.297,11.31
89,280,65.523,0.82,24.187,172.875
90,510,92.203,0.754,32.802,142.431
91,800,112.505,0.794,38.601,16.557
92,644,109.173,0.679,40.719,155.323
