Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,114,46.427,0.665,18.439,12.529
2,92,40.969,0.689,16.763,17.354
3,1530,210.627,0.433,64.498,172.875
4,392,93.219,0.567,35.228,145.408
5,82,34.265,0.878,13.601,162.897
6,387,95.900,0.529,43.417,141.546
7,1070,145.374,0.636,57.009,142.125
8,1103,177.703,0.439,57.315,47.121
9,291,77.915,0.602,32.450,56.310
10,186,59.144,0.668,25.239,146.310
11,201,58.819,0.730,20.000,53.130
12,337,85.595,0.578,34.366,171.634
13,502,98.447,0.651,36.674,11.004
14,244,64.508,0.737,26.420,29.476
15,613,104.365,0.707,35.171,14.826
16,203,66.404,0.579,27.295,8.427
17,223,56.138,0.889,23.259,25.463
18,113,43.650,0.745,17.889,26.565
19,52,27.791,0.846,11.662,30.964
20,197,56.923,0.764,22.804,127.875
21,79,39.953,0.622,18.248,170.538
22,1129,181.075,0.433,68.007,162.897
23,116,47.212,0.654,20.100,174.289
24,135,46.332,0.790,18.439,167.471
25,186,57.248,0.713,22.361,63.435
26,715,115.877,0.669,46.519,64.537
27,230,61.501,0.764,21.401,142.595
28,349,74.908,0.782,30.594,78.690
29,221,78.700,0.448,35.903,167.125
30,497,96.456,0.671,32.573,107.879
31,303,70.331,0.770,23.431,39.806
32,395,90.307,0.609,34.176,69.444
33,143,47.998,0.780,17.205,144.462
34,362,98.026,0.473,37.000,161.075
35,773,131.506,0.562,49.204,142.431
36,489,102.929,0.580,41.437,98.326
37,1528,203.273,0.465,82.298,4.879
38,556,104.500,0.640,40.200,84.289
39,161,52.250,0.741,19.849,130.914
40,414,78.336,0.848,29.732,42.274
41,703,131.506,0.511,48.508,171.703
42,623,128.920,0.471,42.544,29.578
43,1464,180.614,0.564,58.310,95.906
44,213,60.065,0.742,25.612,128.660
45,436,78.700,0.885,26.627,145.713
46,459,109.403,0.482,43.278,139.686
47,359,78.145,0.739,26.401,37.304
48,359,72.457,0.859,25.080,66.501
49,230,67.554,0.633,24.597,63.435
50,406,86.840,0.677,34.828,129.174
51,383,104.500,0.441,40.804,107.103
52,384,83.833,0.687,31.953,110.136
53,511,94.330,0.722,36.056,160.560
54,165,47.672,0.912,18.111,96.340
55,312,84.944,0.543,32.280,16.189
56,285,70.656,0.717,28.284,98.130
57,1443,227.732,0.350,61.131,105.173
58,131,45.872,0.782,19.209,141.340
59,291,72.227,0.701,30.083,158.552
60,147,50.354,0.729,22.204,54.162
61,299,73.567,0.694,23.854,123.024
62,422,79.486,0.839,28.443,10.125
63,876,171.594,0.374,72.897,63.083
64,587,110.514,0.604,47.634,129.036
65,483,92.759,0.705,31.145,47.603
66,605,120.780,0.521,45.000,126.870
67,1700,219.957,0.442,79.209,136.023
68,641,125.683,0.510,42.942,27.759
69,202,67.554,0.556,26.926,105.068
70,946,171.459,0.404,65.765,171.254
71,395,89.292,0.623,32.757,148.736
72,227,59.375,0.809,21.633,56.310
73,655,109.173,0.691,38.949,138.122
74,237,65.523,0.694,24.759,136.637
75,697,139.320,0.451,53.000,31.891
76,406,96.456,0.548,34.655,133.831
77,443,95.805,0.607,41.593,27.181
78,150,74.813,0.337,35.228,145.408
79,596,119.209,0.527,39.825,61.504
80,817,130.030,0.607,47.539,14.621
81,455,90.767,0.694,32.573,107.879
82,764,140.661,0.485,55.946,151.144
83,568,113.425,0.555,49.930,147.265
84,988,151.713,0.539,58.600,154.747
85,367,91.227,0.554,41.869,49.844
86,613,145.469,0.364,61.555,43.025
87,640,127.158,0.497,52.498,40.365
88,394,86.285,0.665,33.242,164.291
89,164,51.790,0.768,20.616,14.036
90,557,113.981,0.539,43.738,169.461
91,945,129.705,0.706,46.098,24.341
92,809,139.416,0.523,60.083,161.565
93,898,171.364,0.384,60.539,30.801
94,271,79.256,0.542,31.765,28.179
95,754,113.061,0.741,41.037,43.025
96,418,83.738,0.749,31.016,88.152
97,964,162.994,0.456,68.710,158.663
98,324,75.234,0.719,29.833,103.570
99,438,92.203,0.647,39.446,30.466
100,416,90.767,0.635,33.541,100.305
101,465,95.900,0.635,34.525,79.992
102,275,65.332,0.810,23.195,97.431
103,917,124.477,0.744,42.579,9.462
104,796,125.358,0.637,44.385,157.479
105,336,85.079,0.583,30.806,13.134
106,166,57.153,0.639,21.213,81.870
107,1927,239.013,0.424,74.673,110.376
108,841,117.083,0.771,42.438,34.439
109,67,29.687,0.955,11.662,120.964
110,1068,172.284,0.452,66.731,29.638
111,828,134.878,0.572,47.434,55.305
112,350,99.923,0.441,43.909,30.069
113,180,55.162,0.743,23.259,115.463
