Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,147,44.206,0.945,15.652,116.565
2,135,45.316,0.826,17.263,169.992
3,185,53.686,0.807,19.105,137.121
4,106,40.183,0.825,15.297,11.310
5,462,91.188,0.698,33.615,22.751
6,183,57.153,0.704,22.825,151.189
7,315,76.574,0.675,30.000,143.130
8,421,128.230,0.322,53.600,171.416
9,119,44.206,0.765,17.804,38.157
10,376,82.588,0.693,32.280,16.189
11,773,134.838,0.534,49.193,116.565
12,571,106.722,0.630,46.239,111.571
13,161,52.575,0.732,19.849,130.914
14,1105,129.935,0.822,46.530,61.783
15,230,57.478,0.875,21.840,74.055
16,3752,283.544,0.586,89.196,70.346
17,393,82.723,0.722,34.986,120.964
18,184,50.124,0.920,18.385,67.620
19,192,52.575,0.873,20.616,112.834
20,17,34.074,0.184,20.125,26.565
21,2680,229.168,0.641,68.007,162.897
22,785,112.545,0.779,43.174,76.608
23,561,88.871,0.893,30.529,31.608
24,266,67.649,0.730,26.401,24.624
25,1413,155.505,0.734,57.489,40.061
26,1168,157.956,0.588,56.036,145.176
27,59,29.362,0.860,12.649,71.565
28,507,89.982,0.787,34.132,84.958
29,208,56.598,0.816,21.541,111.801
30,245,58.819,0.890,23.324,120.964
31,485,96.360,0.656,34.540,112.109
32,154,46.332,0.902,16.763,17.354
33,131,43.095,0.886,17.029,40.236
34,177,58.724,0.645,23.770,75.379
35,1079,146.120,0.635,57.489,130.061
36,689,106.492,0.763,36.715,60.642
37,462,81.287,0.879,29.120,105.945
38,589,107.928,0.635,38.588,31.218
39,692,108.062,0.745,35.171,165.174
40,516,89.197,0.815,33.615,120.379
41,195,53.916,0.843,19.235,117.897
42,984,124.572,0.797,42.544,150.422
43,349,72.552,0.833,25.632,20.556
44,477,95.440,0.658,39.205,95.856
45,221,61.405,0.737,25.239,123.690
46,271,61.175,0.910,21.471,117.759
47,1028,134.973,0.709,50.220,54.728
48,248,62.841,0.789,26.420,119.476
49,922,124.802,0.744,43.012,144.462
50,126,42.309,0.885,14.866,109.654
51,1843,171.919,0.784,60.803,143.696
52,114,39.073,0.938,13.601,53.973
53,686,112.965,0.676,37.643,129.611
54,394,90.212,0.608,29.530,151.699
55,185,54.146,0.793,19.209,128.660
56,172,49.013,0.900,18.248,99.462
57,251,67.419,0.694,26.420,119.476
58,90,36.391,0.854,14.318,114.775
59,306,76.804,0.652,32.558,100.620
60,1040,133.172,0.737,48.662,80.538
61,99,37.962,0.863,14.765,118.301
62,1542,176.267,0.624,68.797,122.535
63,528,86.420,0.888,29.428,80.218
64,581,133.497,0.410,55.471,152.049
65,137,45.316,0.838,16.643,147.265
66,210,55.487,0.857,21.095,121.430
67,941,138.535,0.616,46.840,73.887
68,784,128.594,0.596,48.374,119.745
69,366,77.820,0.759,30.463,113.199
70,145,45.546,0.878,17.493,120.964
71,142,44.991,0.882,16.763,162.646
72,352,96.226,0.478,41.231,157.166
73,272,61.961,0.890,22.204,97.765
74,1498,157.861,0.755,60.926,23.199
75,130,46.102,0.769,18.788,115.201
76,66,29.917,0.927,10.630,131.186
77,231,54.242,0.987,19.416,34.509
78,636,103.485,0.746,34.205,142.125
79,171,54.146,0.733,20.809,35.218
80,133,44.991,0.826,18.358,150.642
81,890,123.041,0.739,43.681,74.055
82,1114,146.580,0.652,55.570,149.744
83,367,79.716,0.726,31.953,110.136
84,314,85.079,0.545,36.235,129.401
85,802,120.455,0.695,41.773,11.041
86,162,47.117,0.917,16.763,107.354
87,335,77.034,0.709,32.311,111.801
88,203,54.472,0.860,21.260,48.814
89,365,90.212,0.564,34.176,110.556
90,226,59.509,0.802,21.401,142.595
91,1074,156.386,0.552,46.325,122.661
92,255,70.331,0.648,28.653,119.249
