Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,2358,217.466,0.627,76.551,123.275
2,1657,197.124,0.536,68.096,150.046
3,779,112.735,0.770,43.417,141.546
4,3776,260.925,0.697,88.074,12.458
5,844,129.054,0.637,50.922,109.502
6,2412,219.917,0.627,68.680,42.049
7,72,110.037,0.075,56.365,25.201
8,2946,243.495,0.624,77.647,172.600
9,4526,270.961,0.775,87.664,78.818
10,231,65.848,0.669,24.698,111.371
11,305,67.094,0.851,25.239,123.690
12,433,90.307,0.667,36.878,12.529
13,148,46.562,0.858,17.088,110.556
14,2286,205.668,0.679,77.492,160.396
15,1012,158.512,0.506,57.801,127.266
16,3263,281.457,0.518,87.556,13.878
17,1867,213.999,0.512,66.242,118.887
18,610,141.581,0.382,61.741,155.095
19,54,79.851,0.106,35.609,51.843
20,155,60.850,0.526,21.954,120.069
21,90,39.073,0.741,17.205,144.462
22,502,121.240,0.429,49.244,156.038
23,399,104.405,0.460,46.043,145.620
24,1072,147.040,0.623,52.355,151.477
25,935,171.729,0.398,75.000,143.130
26,352,77.820,0.730,30.000,126.870
27,252,73.147,0.592,32.802,127.569
28,352,92.433,0.518,34.713,138.504
29,824,157.766,0.416,68.884,117.681
30,2610,204.574,0.784,75.240,156.501
31,3121,236.696,0.700,92.590,27.672
32,45,64.222,0.137,28.443,169.875
33,519,90.537,0.796,35.847,120.141
34,4515,273.317,0.760,91.411,10.081
35,1263,180.749,0.486,67.417,147.724
36,1010,163.549,0.474,64.140,120.964
37,470,112.315,0.468,50.120,118.610
38,3579,268.240,0.625,81.707,68.459
39,581,135.624,0.397,58.310,157.834
40,2678,290.613,0.398,79.057,177.825
41,899,127.158,0.699,48.508,8.297
42,1793,212.007,0.501,71.561,146.976
43,710,157.536,0.360,63.127,130.503
44,499,109.959,0.519,38.079,23.199
45,1585,162.573,0.754,52.802,155.376
46,684,117.218,0.626,46.519,154.537
47,1010,162.994,0.478,68.476,118.811
48,656,106.166,0.731,42.544,113.552
49,893,180.559,0.344,81.006,151.220
50,767,119.114,0.679,43.046,149.265
51,522,92.989,0.759,35.228,173.480
52,2539,236.982,0.568,77.987,139.160
53,2000,192.491,0.678,78.294,28.202
54,549,103.390,0.645,38.601,126.573
55,862,129.705,0.644,52.202,143.569
56,75,61.540,0.249,43.186,42.184
57,229,72.552,0.547,29.732,137.726
58,52,73.147,0.122,39.395,113.962
59,3553,259.124,0.665,83.217,94.135
60,287,75.559,0.632,30.000,126.870
61,528,102.239,0.635,34.540,67.891
62,289,69.545,0.751,26.420,150.524
63,310,72.552,0.740,30.017,150.018
64,205,56.042,0.820,19.235,117.897
65,1729,178.758,0.680,58.181,155.638
66,169,50.679,0.827,19.849,49.086
67,925,147.040,0.538,65.299,130.030
68,565,107.412,0.615,34.986,30.964
69,257,66.538,0.729,25.962,105.642
70,426,88.546,0.683,34.482,119.539
71,330,84.064,0.587,32.311,158.199
72,400,98.487,0.518,40.706,152.176
73,979,141.542,0.614,49.659,115.017
74,486,101.168,0.597,41.340,147.848
75,422,82.397,0.781,28.862,104.036
76,343,71.211,0.850,27.803,127.694
77,556,116.797,0.512,50.120,118.610
78,154,47.442,0.860,17.720,106.390
79,1132,172.935,0.476,67.801,127.208
80,152,50.679,0.744,20.125,116.565
81,774,109.959,0.804,39.205,174.144
82,1613,210.667,0.457,79.712,160.201
83,542,106.166,0.604,40.311,136.005
84,1003,143.668,0.611,52.202,143.569
85,615,105.476,0.695,41.485,105.376
86,403,98.257,0.525,40.608,127.999
87,172,51.005,0.831,19.105,137.121
88,17,36.891,0.157,22.672,41.424
89,451,91.648,0.675,31.048,14.931
90,2125,218.346,0.560,67.941,47.386
91,69,91.783,0.103,35.341,25.115
92,413,80.597,0.799,29.275,97.853
93,1150,145.794,0.680,56.648,110.674
94,1028,146.580,0.601,60.959,131.009
95,1095,140.891,0.693,44.407,54.162
96,464,83.603,0.834,29.833,76.430
97,292,71.441,0.719,28.302,122.005
98,1086,172.284,0.460,76.485,131.820
99,445,83.508,0.802,30.871,24.905
100,882,142.557,0.545,49.041,110.283
101,195,56.828,0.759,22.472,57.724
102,509,122.351,0.427,51.624,148.465
103,1205,161.844,0.578,62.968,136.931
104,3738,291.588,0.552,84.481,83.884
105,1248,192.031,0.425,74.726,164.476
106,381,82.167,0.709,29.833,129.560
107,399,90.212,0.616,36.359,121.504
108,568,94.234,0.804,36.620,145.008
109,492,95.900,0.672,38.949,131.878
110,318,82.397,0.589,26.683,167.005
111,165,49.664,0.841,20.248,122.905
112,1268,149.396,0.714,51.000,151.928
