Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,137,49.894,0.692,22.204,97.765
2,778,123.231,0.644,49.244,60.832
3,275,82.818,0.504,27.785,120.256
4,486,100.343,0.607,42.202,103.707
5,2478,211.508,0.696,70.456,55.408
6,324,75.004,0.724,28.231,112.932
7,568,131.601,0.412,48.301,152.904
8,158,55.257,0.650,24.207,128.290
9,273,60.945,0.924,21.633,123.690
10,1809,167.016,0.815,57.385,41.468
11,455,91.513,0.683,37.121,175.365
12,23,48.133,0.125,32.062,86.424
13,1213,135.298,0.833,48.301,62.904
14,487,84.064,0.866,29.120,105.945
15,925,175.156,0.379,58.600,126.674
16,434,85.730,0.742,31.064,123.179
17,620,107.047,0.680,40.792,101.310
18,666,109.729,0.695,41.340,122.152
19,513,95.115,0.713,33.106,25.017
20,1878,203.828,0.568,63.032,48.215
21,269,83.929,0.480,39.850,107.526
22,35,49.569,0.179,16.763,72.646
23,414,88.641,0.662,34.482,60.461
24,992,127.714,0.764,49.820,128.480
25,513,98.257,0.668,32.985,14.036
26,1073,149.261,0.605,60.729,107.241
27,1305,146.024,0.769,51.614,144.462
28,472,93.219,0.683,32.696,113.429
29,198,116.432,0.184,38.013,63.435
30,492,104.826,0.563,43.566,99.246
31,423,106.166,0.472,44.688,130.462
32,707,127.254,0.549,47.854,79.160
33,4006,299.633,0.561,89.051,24.550
34,709,110.284,0.733,41.677,120.256
35,3098,262.687,0.564,84.534,152.526
36,537,89.006,0.852,31.321,106.699
37,441,78.240,0.905,27.785,149.744
38,267,66.308,0.763,27.203,126.027
39,131,46.006,0.778,18.788,115.201
40,1284,156.060,0.663,60.166,74.578
41,1261,151.483,0.691,53.852,111.801
42,1190,172.015,0.505,65.734,103.191
43,340,80.176,0.665,29.530,151.699
44,374,87.396,0.615,34.366,98.366
45,773,130.070,0.574,53.451,72.582
46,873,115.972,0.816,40.249,116.565
47,250,62.976,0.792,25.080,23.499
48,484,85.634,0.829,30.083,164.578
49,1357,169.238,0.595,57.974,165.005
50,394,76.019,0.857,26.833,26.565
51,965,146.675,0.564,55.036,114.702
52,466,107.277,0.509,45.607,74.745
53,1073,136.179,0.727,48.549,57.619
54,200,94.790,0.280,34.540,67.891
55,975,141.447,0.612,59.237,111.801
56,575,135.854,0.392,59.506,114.842
57,899,122.906,0.748,41.183,119.055
58,446,85.960,0.758,32.650,62.650
59,772,142.232,0.480,52.773,9.819
60,636,102.929,0.754,37.736,57.995
61,783,122.811,0.652,40.311,119.745
62,4649,334.279,0.523,128.876,83.316
63,634,94.560,0.891,32.311,68.199
64,456,85.079,0.792,30.364,72.759
65,857,119.344,0.756,43.012,54.462
66,2264,185.652,0.825,63.640,81.870
67,1402,154.719,0.736,53.151,85.684
68,532,107.277,0.581,44.944,122.276
69,571,124.572,0.462,50.695,104.859
70,872,117.908,0.788,40.025,77.005
71,35,43.880,0.228,20.000,53.130
72,501,87.396,0.824,30.364,17.241
73,1136,157.726,0.574,60.465,124.216
74,1264,162.994,0.598,59.841,99.620
75,826,116.202,0.769,42.544,113.552
76,397,89.101,0.628,37.590,118.610
77,1509,169.563,0.660,53.339,149.589
78,277,80.041,0.543,35.609,128.157
79,1221,181.035,0.468,71.021,99.728
80,386,80.041,0.757,28.653,119.249
81,661,103.350,0.778,40.497,110.225
82,550,96.686,0.739,34.713,101.634
83,323,71.441,0.795,28.792,110.323
84,2011,197.814,0.646,66.370,83.946
85,665,117.122,0.609,47.170,122.005
86,536,98.352,0.696,34.928,113.629
87,406,82.723,0.746,34.366,81.634
88,449,90.307,0.692,37.483,80.789
89,208,77.820,0.432,35.805,125.910
90,355,95.345,0.491,36.359,121.504
91,295,67.879,0.805,25.612,141.340
92,615,124.802,0.496,47.518,81.529
93,2275,188.794,0.802,63.151,169.046
94,776,105.841,0.870,37.000,108.925
95,462,92.893,0.673,37.537,131.760
96,454,96.456,0.613,36.139,104.421
97,729,123.596,0.600,45.398,82.405
98,1322,146.810,0.771,52.612,171.254
99,1979,178.948,0.777,60.531,97.595
100,1465,158.742,0.731,55.082,74.197
101,404,83.833,0.722,34.828,39.174
102,390,87.856,0.635,37.336,110.376
103,453,104.270,0.524,33.956,103.627
104,571,101.819,0.692,34.176,20.556
105,1736,183.066,0.651,64.195,85.533
106,838,128.134,0.641,57.489,13.069
107,837,152.689,0.451,67.897,99.324
108,261,76.670,0.558,33.541,79.695
109,1050,160.773,0.510,59.666,140.440
110,529,109.078,0.559,34.540,112.109
111,1770,219.132,0.463,87.966,98.499
112,2962,265.923,0.526,82.976,130.601
113,179,50.029,0.899,19.313,68.749
114,795,155.640,0.412,62.201,143.499
115,407,98.677,0.525,41.110,108.435
116,558,110.514,0.574,47.170,94.865
117,285,71.671,0.697,25.495,154.440
118,57,35.050,0.583,12.806,38.660
119,326,75.694,0.715,28.018,124.824
120,498,114.076,0.481,49.254,84.174
121,530,99.693,0.670,37.947,108.435
122,257,63.071,0.812,25.456,135.000
123,226,61.731,0.745,24.698,111.371
124,428,81.057,0.819,28.284,81.870
125,384,83.373,0.694,32.249,60.255
126,3346,280.997,0.533,87.664,122.421
127,935,145.564,0.555,60.407,83.346
128,669,121.470,0.570,44.418,148.815
129,927,162.994,0.438,67.476,96.809
130,992,132.942,0.705,50.090,153.947
131,393,87.991,0.638,34.176,110.556
132,907,160.408,0.443,64.885,151.460
133,537,95.670,0.737,34.928,103.241
134,274,66.308,0.783,25.495,115.560
135,1402,165.866,0.640,53.413,128.157
136,25,31.813,0.310,19.313,68.749
137,1132,153.053,0.607,49.769,112.443
138,423,85.864,0.721,28.018,124.824
139,506,132.252,0.364,59.034,100.739
140,641,104.040,0.744,39.446,149.534
141,644,103.485,0.756,38.601,163.443
142,140,173.760,0.058,46.530,98.653
143,2369,206.740,0.697,75.538,96.843
144,390,91.323,0.588,37.537,138.240
145,393,90.212,0.607,32.757,12.339
146,623,98.772,0.802,34.540,112.109
147,336,70.331,0.854,25.612,141.340
148,1821,208.215,0.528,62.032,159.228
149,348,80.271,0.679,30.480,131.009
150,874,152.229,0.474,64.846,116.565
151,514,88.181,0.831,32.202,115.769
152,661,104.175,0.765,36.401,164.055
153,604,132.196,0.434,54.672,129.806
154,2282,230.223,0.541,70.385,67.443
155,501,101.033,0.617,35.511,122.347
156,534,95.900,0.730,36.222,83.660
157,617,112.180,0.616,45.277,83.660
158,1033,148.801,0.586,50.478,123.690
