Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,46,39.628,0.368,15.652,116.565
2,495,91.743,0.739,32.802,142.431
3,67,81.517,0.127,31.623,18.435
4,324,70.426,0.821,24.413,34.992
5,31,31.813,0.385,16.279,169.380
6,1089,146.254,0.640,52.839,119.476
7,217,65.848,0.629,26.926,111.801
8,435,89.982,0.675,32.202,126.158
9,797,147.595,0.460,50.090,3.434
10,49,86.229,0.083,34.928,13.241
11,1158,143.898,0.703,48.549,147.619
12,15,29.592,0.215,18.868,57.995
13,682,102.469,0.816,34.986,149.036
14,583,89.752,0.909,31.890,138.814
15,749,121.565,0.637,45.891,168.690
16,449,83.508,0.809,32.202,126.158
17,1007,133.077,0.715,44.944,57.724
18,586,96.686,0.788,35.735,72.072
19,467,87.721,0.763,31.241,129.806
20,1460,151.713,0.797,54.571,76.218
21,615,104.175,0.712,34.482,106.858
22,679,101.914,0.822,35.847,149.859
23,883,124.247,0.719,43.012,162.408
24,679,104.270,0.785,36.346,97.907
25,1343,170.579,0.580,54.781,21.413
26,734,109.308,0.772,36.401,127.185
27,758,109.403,0.796,39.395,156.038
28,663,108.618,0.706,40.522,164.249
29,735,107.182,0.804,38.471,98.973
30,1295,143.438,0.791,50.537,62.928
31,842,115.092,0.799,38.288,40.764
32,1074,125.588,0.856,42.720,32.574
33,676,108.943,0.716,41.617,125.218
34,506,88.316,0.815,34.366,98.366
35,1761,165.771,0.805,56.639,137.862
36,2183,201.511,0.676,60.208,122.106
37,635,101.359,0.777,36.878,40.601
38,651,95.115,0.904,32.802,37.569
39,468,83.833,0.837,27.803,37.694
40,1604,170.809,0.691,57.775,66.541
41,998,137.559,0.663,50.990,154.440
42,385,75.464,0.850,25.495,131.820
43,603,95.766,0.826,33.734,168.024
44,576,105.611,0.649,33.015,54.866
45,594,95.440,0.819,33.136,174.806
46,31,35.836,0.303,13.454,131.987
47,42,65.007,0.125,20.616,104.036
48,962,134.418,0.669,48.260,84.053
49,733,118.424,0.657,43.417,97.943
50,649,98.677,0.838,33.287,57.265
51,1269,149.682,0.712,52.393,103.241
52,205,72.973,0.484,33.136,95.194
53,1531,158.512,0.766,54.918,100.491
54,574,104.730,0.658,36.715,150.642
55,460,83.278,0.834,31.623,124.695
56,777,109.173,0.819,36.770,112.380
57,511,89.752,0.797,31.890,48.814
58,819,116.337,0.760,42.521,131.186
59,410,82.818,0.751,29.530,118.301
60,327,76.670,0.699,31.145,84.472
61,396,87.396,0.652,31.257,82.648
62,570,97.662,0.751,35.805,125.910
63,1075,136.084,0.729,46.065,117.121
64,56,62.651,0.179,30.806,35.754
65,460,82.723,0.845,29.411,17.819
66,628,98.352,0.816,36.249,114.444
67,20,45.681,0.120,28.653,119.249
68,574,96.781,0.770,34.928,166.759
69,1852,194.482,0.615,70.328,150.154
70,720,107.698,0.780,36.878,130.601
71,942,118.788,0.839,43.046,120.735
72,40,55.947,0.161,21.095,121.430
73,413,78.470,0.843,28.792,110.323
74,711,107.832,0.768,35.114,109.983
75,140,53.456,0.616,23.195,82.569
76,1965,182.090,0.745,64.475,23.782
77,16,27.466,0.267,13.038,32.471
78,1147,134.283,0.799,49.092,123.366
79,650,102.144,0.783,39.217,70.641
80,712,109.959,0.740,37.736,122.005
81,567,94.885,0.791,31.780,77.276
82,413,82.493,0.763,30.887,60.945
83,46,49.799,0.233,20.881,106.699
84,231,62.841,0.735,26.077,94.399
85,711,110.419,0.733,37.483,80.789
86,930,122.351,0.781,43.417,51.546
87,584,91.973,0.868,34.886,62.700
88,56,68.339,0.151,24.515,11.768
89,839,118.558,0.750,38.419,141.340
90,606,100.478,0.754,35.847,112.989
91,319,75.464,0.704,29.411,17.819
92,591,99.693,0.747,33.734,168.024
93,986,131.927,0.712,42.202,36.327
94,914,121.240,0.781,44.922,73.179
95,768,118.884,0.683,46.872,101.070
96,566,100.708,0.701,36.674,78.996
97,120,43.190,0.808,17.464,156.371
98,105,63.627,0.326,20.000,126.870
99,1217,131.181,0.889,46.573,165.069
100,240,63.952,0.737,26.571,109.799
101,293,70.981,0.731,26.401,24.624
102,420,84.714,0.735,34.132,148.173
103,301,65.848,0.872,23.324,59.036
104,15,33.749,0.165,16.279,100.620
105,59,58.629,0.216,20.248,20.225
106,1271,149.817,0.712,56.648,159.326
107,797,108.848,0.845,35.511,147.653
108,602,103.159,0.711,38.118,94.514
109,20,28.021,0.320,11.705,160.017
110,712,101.224,0.873,37.162,113.806
111,682,115.512,0.642,48.301,117.096
112,117,48.553,0.624,22.204,97.765
113,444,87.261,0.733,35.228,145.408
114,88,35.931,0.857,15.264,121.608
115,194,51.005,0.937,19.313,21.251
116,50,40.969,0.374,16.401,37.569
