Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,3704,293.675,0.540,94.847,47.564
2,385,74.639,0.868,29.069,49.185
3,1287,155.331,0.670,64.195,161.847
4,1769,176.132,0.717,66.761,163.465
5,8393,418.668,0.602,132.231,135.306
6,1032,144.969,0.617,63.063,165.303
7,3721,252.016,0.736,98.082,20.283
8,779,112.545,0.773,39.051,2.936
9,2067,189.349,0.724,62.482,140.194
10,2209,198.965,0.701,66.068,87.397
11,2591,215.569,0.701,74.061,92.322
12,3899,338.015,0.429,116.482,164.055
13,10110,412.615,0.746,140.071,136.736
14,542,87.491,0.890,33.615,67.249
15,6285,397.334,0.500,123.227,105.051
16,2656,220.893,0.684,84.599,151.011
17,5272,362.205,0.505,120.208,53.797
18,6113,390.551,0.504,121.495,124.606
19,1731,161.883,0.830,56.089,78.690
20,9508,427.728,0.653,143.694,171.193
21,6160,341.808,0.663,109.110,19.265
22,1401,161.653,0.674,61.612,76.866
23,2428,231.944,0.567,90.200,3.814
24,14318,596.029,0.506,191.024,78.219
25,1283,137.194,0.857,48.765,105.461
26,1240,153.474,0.662,53.535,32.800
27,1621,157.171,0.825,57.940,21.251
28,4021,251.326,0.800,89.196,70.346
29,2584,213.999,0.709,83.096,39.629
30,23313,724.624,0.558,233.418,167.631
31,1494,151.483,0.818,53.907,49.514
32,1925,202.392,0.591,76.420,83.991
33,4408,269.772,0.761,94.340,21.125
34,8138,476.741,0.450,155.657,144.676
35,1760,180.749,0.677,68.622,43.229
36,5615,347.131,0.586,140.460,121.314
37,2662,247.573,0.546,91.548,21.801
38,882,125.913,0.699,45.793,148.392
39,15879,647.836,0.475,229.297,148.736
40,5537,294.881,0.800,101.178,132.997
41,2692,230.413,0.637,82.329,49.927
42,5224,312.945,0.670,97.693,112.891
43,5311,392.566,0.433,134.239,155.344
44,1171,133.957,0.820,48.826,124.992
45,13970,559.773,0.560,188.409,7.012
46,4039,293.159,0.591,92.617,127.983
47,3110,242.250,0.666,94.366,40.272
48,8482,419.913,0.604,154.871,148.465
49,2265,223.423,0.570,88.284,170.218
50,919,113.195,0.901,38.471,8.973
51,10925,476.606,0.604,188.162,29.971
52,2566,213.673,0.706,73.593,137.203
53,3225,243.972,0.681,85.235,121.079
54,1475,185.383,0.539,76.903,167.229
55,1905,236.943,0.426,104.202,26.811
56,3323,262.227,0.607,92.542,173.797
57,1140,129.745,0.851,43.324,18.853
58,3912,286.511,0.599,106.705,169.743
59,3951,295.223,0.570,126.289,20.875
60,1003,136.409,0.677,50.160,66.501
61,2358,233.341,0.544,97.309,22.348
62,693,101.779,0.841,34.828,140.826
63,2272,206.470,0.670,82.098,177.207
64,1219,136.599,0.821,51.264,20.556
