Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,5030,329.337,0.583,130.599,27.350
2,3348,228.438,0.806,80.722,48.013
3,3344,220.242,0.866,77.156,47.626
4,2819,217.426,0.749,74.953,166.891
5,5986,330.352,0.689,121.511,39.323
6,4600,260.807,0.850,91.417,30.211
7,2927,230.144,0.694,83.487,136.941
8,3509,263.147,0.637,103.276,43.431
9,1745,160.083,0.856,63.325,21.297
10,4721,268.089,0.825,89.944,98.310
11,6627,329.646,0.766,110.887,82.747
12,8132,370.059,0.746,132.925,148.223
13,71,141.200,0.045,100.578,17.354
14,44,84.428,0.078,103.160,16.327
15,66,128.213,0.050,98.082,16.587
16,18,36.526,0.170,102.181,11.860
17,39,75.963,0.085,102.201,16.484
18,17,37.732,0.150,25.000,16.260
19,4207,262.131,0.769,101.237,23.273
20,7694,386.148,0.648,135.385,112.587
21,9432,402.792,0.731,138.495,75.362
22,20568,603.233,0.710,185.551,33.347
23,3234,225.645,0.798,88.233,72.181
24,5301,311.351,0.687,119.231,67.306
25,1597,159.622,0.788,56.400,142.927
26,29142,743.085,0.663,235.987,129.153
27,4196,245.392,0.876,83.487,96.189
28,1254,136.869,0.841,48.508,14.323
29,1491,158.646,0.744,57.871,71.878
30,11932,503.326,0.592,193.166,87.626
31,5367,297.372,0.763,108.342,80.972
32,1396,147.690,0.804,55.902,79.695
33,686,133.037,0.487,50.359,83.157
34,6355,329.241,0.737,116.709,77.631
35,4210,318.459,0.522,99.489,129.289
36,10611,422.904,0.746,164.149,64.372
37,5914,365.061,0.558,135.152,58.309
38,9945,458.874,0.594,161.003,112.264
39,5464,304.805,0.739,114.856,97.001
40,1754,162.248,0.837,60.877,165.735
41,8835,454.773,0.537,159.831,75.877
42,2402,198.925,0.763,73.682,82.200
43,6713,360.365,0.650,137.321,82.047
44,1497,148.532,0.853,53.009,54.211
45,5764,332.652,0.655,122.430,47.317
46,1953,167.897,0.871,58.215,85.073
47,1418,146.484,0.830,53.600,143.344
48,6924,340.792,0.749,112.361,147.724
49,5812,374.288,0.521,154.392,94.086
50,20316,592.046,0.728,193.313,86.738
51,7326,344.394,0.776,122.000,79.611
52,9603,398.866,0.759,148.486,4.635
53,5548,333.343,0.627,136.312,107.504
54,912,123.731,0.749,50.329,110.956
55,4095,257.554,0.776,91.662,173.108
56,813,112.410,0.809,45.607,52.125
57,1733,171.689,0.739,65.924,22.286
58,707,105.151,0.804,35.735,72.072
59,10633,466.285,0.615,143.694,8.807
60,9339,434.852,0.621,164.730,150.945
61,11276,423.761,0.789,149.790,32.735
62,8959,413.614,0.658,145.523,14.323
63,5013,301.545,0.693,103.470,124.765
64,2358,203.637,0.715,75.664,97.595
65,2875,228.787,0.690,88.482,145.592
66,1716,158.012,0.864,58.310,59.036
67,1394,153.053,0.748,54.562,138.715
68,882,118.844,0.785,46.872,11.070
