Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,1201,149.182,0.678,60.415,167.574
2,3977,298.578,0.561,115.365,137.459
3,1815,194.213,0.605,71.694,120.141
4,8717,433.012,0.584,152.279,68.827
5,2859,242.266,0.612,92.704,66.477
6,2892,244.202,0.609,102.343,123.845
7,4750,358.317,0.465,127.781,107.301
8,1561,162.495,0.743,61.587,57.600
9,2273,210.032,0.647,86.954,120.399
10,8177,451.901,0.503,159.022,129.898
11,2019,216.164,0.543,89.844,106.821
12,491,87.070,0.814,33.136,174.806
13,5145,365.846,0.483,144.201,142.892
14,1825,172.665,0.769,67.357,130.786
15,6824,385.133,0.578,146.697,115.866
16,1770,178.028,0.702,60.208,57.894
17,862,122.121,0.726,38.833,55.491
18,1685,186.914,0.606,82.492,83.737
19,197,100.287,0.246,48.415,38.290
20,103,102.969,0.122,48.826,34.992
21,42,81.366,0.080,48.010,35.676
22,5959,373.335,0.537,144.558,109.814
23,11952,518.384,0.559,187.243,103.591
24,3625,284.885,0.561,100.603,127.326
25,8483,374.906,0.758,128.082,100.345
26,1965,197.259,0.635,66.068,87.397
27,3596,267.455,0.632,105.323,102.057
28,11738,554.410,0.480,208.626,97.159
29,15884,549.737,0.660,168.689,169.756
30,4296,295.206,0.619,117.427,85.115
31,4309,361.055,0.415,120.930,124.216
32,4334,257.744,0.820,87.932,72.801
33,9632,471.227,0.545,179.471,122.716
34,6630,363.204,0.632,129.016,90.888
35,3820,275.729,0.631,106.301,94.316
36,2754,214.189,0.754,78.892,149.534
37,6082,343.609,0.647,138.578,110.266
38,7644,367.108,0.713,125.936,110.450
39,5240,286.035,0.805,99.865,145.196
40,13290,471.243,0.752,165.469,63.435
41,13954,558.218,0.563,227.706,123.899
42,10345,420.643,0.735,147.231,65.524
43,1115,121.795,0.945,41.485,15.376
44,6557,362.149,0.628,108.812,107.103
45,6364,386.283,0.536,152.555,85.112
46,777,106.626,0.859,41.677,30.256
47,6925,333.668,0.782,129.800,123.690
48,28,28.346,0.438,11.705,19.983
49,7916,369.710,0.728,131.229,57.763
50,1384,149.452,0.779,52.802,65.376
51,5169,296.817,0.737,97.509,25.514
52,31,52.115,0.143,25.080,4.574
53,1211,140.066,0.776,51.078,23.051
54,2016,194.998,0.666,69.289,159.734
55,1776,204.074,0.536,68.622,136.771
56,1730,172.895,0.727,62.008,37.794
57,1326,158.472,0.664,58.249,11.889
58,1556,192.928,0.525,81.320,16.429
