Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,1001,128.690,0.760,49.092,176.496
2,5769,373.335,0.520,132.548,41.023
3,3298,250.176,0.662,103.470,23.344
4,3277,272.032,0.556,109.604,45.370
5,5996,332.478,0.682,129.692,19.832
6,6273,340.602,0.680,110.318,171.135
7,822,122.867,0.684,48.166,48.366
8,5281,299.728,0.739,115.000,36.870
9,2206,192.317,0.750,66.708,49.865
10,1534,158.837,0.764,60.208,48.366
11,3442,259.775,0.641,95.415,146.976
12,7066,416.621,0.512,145.248,172.484
13,6357,360.118,0.616,130.736,150.690
14,834,121.335,0.712,46.615,54.605
15,2561,203.637,0.776,64.031,165.530
16,1021,131.141,0.746,47.381,44.145
17,6516,332.192,0.742,112.294,39.218
18,1996,171.364,0.854,60.729,17.241
19,9291,414.994,0.678,139.262,10.342
20,4694,295.341,0.676,109.000,33.398
21,7108,418.612,0.510,116.297,27.667
22,1675,168.912,0.738,57.219,5.013
23,10690,472.949,0.601,140.911,145.408
24,1707,175.386,0.697,57.723,165.964
25,3349,225.875,0.825,76.844,18.199
26,21683,625.637,0.696,217.083,157.806
27,2421,222.273,0.616,89.376,40.462
28,6545,394.748,0.528,125.936,100.061
29,2033,171.555,0.868,57.428,144.926
30,1395,152.728,0.752,51.478,7.815
31,1383,147.191,0.802,59.093,66.038
32,2527,187.128,0.907,62.032,20.772
33,4758,273.564,0.799,103.160,106.327
34,2587,214.879,0.704,82.620,128.118
35,2839,216.815,0.759,84.599,151.011
36,7679,382.316,0.660,122.674,40.703
37,6697,341.768,0.720,120.540,157.051
38,7521,373.463,0.678,130.231,42.510
39,4526,299.078,0.636,96.799,56.802
40,4763,309.114,0.626,108.227,176.292
41,2583,212.158,0.721,82.565,78.826
42,2852,251.040,0.569,85.376,166.452
43,911,122.541,0.762,48.508,171.703
