Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,4579,360.404,0.443,143.422,85.601
2,2860,258.95,0.536,93.193,176.309
3,2699,279.196,0.435,105.646,130.778
4,21269,669.367,0.597,219.094,74.378
5,1620,182.796,0.609,69.778,64.537
6,1227,145.794,0.725,52.887,105.35
7,1063,131.046,0.778,47.297,76.551
8,1599,170.158,0.694,62.801,99.162
9,1286,138.63,0.841,47.508,49.268
10,3183,263.258,0.577,104.709,118.523
11,2088,182.051,0.792,71.868,68.791
12,7069,396.621,0.565,154.305,62.605
13,1030,158.663,0.514,73.246,94.699
14,1803,178.718,0.709,70.838,41.566
15,1898,248.549,0.386,111.234,67.816
16,3801,275.404,0.63,103.368,102.288
17,2489,266.804,0.439,113.464,145.049
18,3233,238.093,0.717,80.529,61.844
19,2488,218.267,0.656,87.115,131.743
20,1956,195.323,0.644,72.111,160.56
,3462,247.9046,,94.22065,
