Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,2865,207.446,0.837,77.156,132.374
2,2825,207.255,0.826,74.686,26.222
3,4218,275.785,0.697,101.71,149.906
4,5535,321.736,0.672,131.244,125.385
5,1681,173.871,0.699,65.253,15.101
6,2024,177.013,0.812,66.098,162.387
7,2491,212.714,0.692,86.215,142.067
8,1166,149.968,0.651,62.201,4.611
9,1614,150.007,0.901,54.918,146.889
10,1187,146.445,0.696,51.264,20.556
11,2841,255.983,0.545,85.094,109.926
12,1799,211.738,0.504,76.688,102.043
13,1460,164.621,0.677,60.465,55.784
14,3395,246.177,0.704,94.668,121.171
15,4079,290.708,0.607,120.037,91.432
16,2374,214.784,0.647,85.071,107.796
17,2997,225.32,0.742,82.462,165.964
18,42479,993.975,0.54,280.829,133.413
19,2635,233.975,0.605,82.638,68.714
20,1844,203.043,0.562,72.346,130.515
21,2530,191.571,0.866,61.033,108.138
22,2005,199.52,0.633,84.723,120.5
23,1042,127.579,0.804,42.544,23.552
24,3445,281.553,0.546,83.295,85.179
25,2466,232.444,0.574,82.152,121.562
26,2957,255.063,0.571,94.53,6.072
27,2743,218.29,0.723,81.123,120.358
28,9465,473.274,0.531,147.872,122.293
29,2238,197.259,0.723,72.007,27.277
30,10555,432.44,0.709,136.059,114.305
31,3634,253.222,0.712,102,118.072
32,896,131.697,0.649,49.254,95.826
33,3058,231.524,0.717,86.683,101.31
34,1527,150.007,0.853,57.428,97.001
35,2142,180.979,0.822,64.327,78.341
36,5602,332.192,0.638,110.145,150.642
37,2306,204.518,0.693,69.123,14.237
38,8139,408.941,0.612,144.779,84.053
39,2232,210.762,0.631,77.666,124.509
40,2889,226.351,0.709,75.664,150.725
41,1912,200.821,0.596,65.605,37.569
42,8716,433.59,0.583,130,126.87
43,1806,170.388,0.782,58.31,95.906
44,2830,220.242,0.733,80.324,108.886
45,880,129.57,0.659,51.971,78.906
46,11398,508.15,0.555,162.111,128.991
47,1491,179.083,0.584,76.059,28.25
48,3061,277.126,0.501,112.414,35.952
49,8179,446.903,0.515,158.146,173.1
50,5763,375.517,0.514,123.167,66.557
51,1164,134.283,0.811,46.098,65.659
52,3701,257.649,0.701,91.788,7.512
53,2464,192.356,0.837,66.37,149.184
54,1674,185.899,0.609,69.08,112.109
55,3020,221.353,0.775,82.861,162.44
56,2195,192.182,0.747,66.603,48.652
57,1570,207.906,0.456,85.159,170.538
,3950.947368,251.4871579,,88.7634386,
