Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,3292,287.487,0.501,84.812,37.816
2,3466,275.825,0.572,94.048,54.958
3,2904,224.82,0.722,82.928,56.31
4,18534,583.558,0.684,205.117,139.944
5,3279,235.832,0.741,84.172,9.574
6,18800,619.584,0.615,213.321,73.944
7,4071,283.33,0.637,99.86,122.735
8,953,156.846,0.487,66.491,102.155
9,1194,137.98,0.788,54.342,167.242
10,3287,248.129,0.671,97.165,98.881
11,1124,130.951,0.824,49.396,111.371
12,1659,190.555,0.574,77.833,132.917
13,5133,299.117,0.721,99.765,137.031
14,10625,500.319,0.533,200.392,154.586
15,3851,330.947,0.442,139.864,110.508
16,674,102.279,0.81,37.855,77.8
17,1722,157.401,0.873,59.682,121.293
18,637,97.852,0.836,37.59,151.39
19,4528,341.292,0.488,115.767,109.687
20,3688,290.668,0.549,105.65,72.937
21,1239,130.126,0.92,45.277,43.21
22,1754,190.42,0.608,71.701,98.017
23,2895,214.229,0.793,71.61,144.09
24,3221,241.599,0.693,97.082,11.889
25,17812,578.964,0.668,189.929,81.827
26,924,120.685,0.797,47.413,27.646
27,19555,682.981,0.527,281.839,79.368
28,3155,254.967,0.61,103.947,82.26
29,9019,371.916,0.819,139.313,140.826
30,1602,190.555,0.554,76.577,130.764
31,2482,213.039,0.687,78.924,112.341
32,1134,143.573,0.691,55.227,148.325
33,8503,522.557,0.391,218.68,106.197
34,10792,462.111,0.635,175.647,97.853
35,1599,218.632,0.42,99.02,91.157
36,2471,198.465,0.788,80.895,81.469
37,8618,528.245,0.388,202.2,106.374
38,7038,399.286,0.555,141.354,152.166
39,3206,258.53,0.603,80.994,57.095
40,8310,435.772,0.55,163.573,101.997
41,8039,368.869,0.742,137.928,73.142
42,9401,446.919,0.591,130.782,156.571
43,6276,333.057,0.711,119.365,98.673
44,1485,156.75,0.759,62.201,94.611
45,9764,430.6,0.662,151.717,33.166
46,3571,282.528,0.562,94.303,124.196
47,2668,212.904,0.74,85.212,125.929
48,3212,240.926,0.695,89.045,32.619
49,2590,216.871,0.692,83.774,23.199
,5219.510204,296.752,,109.8281429,
