Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,1010,129.245,0.76,49.092,176.496
2,5788,378.794,0.507,131.795,41.309
3,3280,252.072,0.649,103.47,23.344
4,3257,271.477,0.555,108.904,45.744
5,6001,334.374,0.674,129.692,19.832
6,6227,331.772,0.711,110.318,171.135
7,815,122.867,0.678,48.166,48.366
8,5266,299.173,0.739,114.039,35.362
9,2164,189.31,0.759,65.803,53.653
10,1512,161.289,0.73,59.464,47.726
11,3421,261.671,0.628,96.255,147.301
12,6990,413.709,0.513,143.402,171.983
13,6320,352.304,0.64,130.736,150.69
14,825,121.565,0.702,46.043,55.62
15,2554,200.956,0.795,64.288,164.667
16,1003,131.697,0.727,46.669,45
17,7366,395.589,0.591,130.92,145.582
18,2268,203.407,0.689,69.354,47.337
19,1992,170.023,0.866,61.131,15.173
20,9276,413.979,0.68,139.262,10.342
21,4679,294,0.68,109.078,31.504
22,6927,423.285,0.486,115.871,25.017
23,10764,471.933,0.607,141.481,145.074
24,1701,189.214,0.597,57.585,159.677
25,2004,173.49,0.837,65,157.38
26,3352,226.105,0.824,77.795,17.969
27,21664,623.051,0.701,217.083,157.806
28,6521,399.881,0.512,129.402,98.443
29,2428,219.036,0.636,88.204,32.969
30,2014,170.444,0.871,55.803,143.746
31,1368,148.706,0.777,50.804,10.204
32,1372,146.635,0.802,59.093,66.038
33,2528,187.913,0.9,62.394,21.631
34,4724,273.794,0.792,102.201,106.484
35,2563,211.968,0.717,82.006,127.569
36,2822,215.244,0.765,83.863,149.153
37,7641,382.316,0.657,122.025,40.347
38,6700,337.421,0.74,120.934,156.615
39,7479,378.826,0.655,130.969,42.215
40,4483,303.425,0.612,96.519,55.981
41,4732,310.129,0.618,108.167,176.82
42,2570,212.944,0.712,82.377,79.509
43,2854,242.671,0.609,85.866,14.845
44,904,121.201,0.773,48.052,167.989
,4366.568182,268.1569318,,94.12215909,
