Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,1196,148.167,0.685,59.908,165.5
2,3983,298.578,0.561,115.365,137.459
3,8685,426.538,0.6,151.921,69.179
4,2861,243.377,0.607,92.704,66.477
5,2900,242.861,0.618,102.343,123.845
6,4734,352.859,0.478,127.781,107.301
7,1559,161.384,0.752,61.587,57.6
8,2265,212.944,0.628,86.093,120.735
9,3430,261.632,0.63,94.868,108.435
10,8232,467.76,0.473,159.364,131.693
11,2024,214.038,0.555,89.844,106.821
12,491,86.285,0.829,32.388,171.119
13,5143,367.187,0.479,143.6,143.21
14,1800,182.836,0.677,67.007,127.725
15,1736,175.807,0.706,62.968,122.681
16,6802,395.954,0.545,147.078,112.38
17,1766,180.71,0.68,61.057,58.392
18,862,119.209,0.762,39.661,56.31
19,1693,187.144,0.607,82.492,83.737
20,5989,379.579,0.522,143.279,109.573
21,3573,283.544,0.558,100.603,127.326
22,11415,501.184,0.571,180.712,103.113
23,8457,376.572,0.749,128.082,100.345
24,1962,192.356,0.666,66.03,88.264
25,3554,259.506,0.663,104.561,102.707
26,11699,552.054,0.482,209.38,96.582
27,15863,551.078,0.656,168.576,165.222
28,4281,301.91,0.59,117.427,85.115
29,4306,256.403,0.823,87.641,73.426
30,4281,361.285,0.412,118.461,125.032
31,9625,473.028,0.541,179.246,122.005
32,6652,361.538,0.64,129.016,90.888
33,3827,279.196,0.617,109.458,95.242
34,2739,217.886,0.725,79.259,150.524
35,5995,344.394,0.635,138.235,109.877
36,7591,368.449,0.703,125.936,110.45
37,5229,286.59,0.8,100.125,145.993
38,26,47.672,0.144,25,16.26
39,13266,473.6,0.743,165.469,63.435
40,13927,559.329,0.559,227.706,123.899
41,9851,418.057,0.708,146.741,65.007
42,1105,130.165,0.82,40.608,9.926
43,6487,411.488,0.481,108.522,106.598
44,6375,385.497,0.539,152.643,84.738
45,781,106.396,0.867,40.817,30.964
46,6898,333.993,0.777,129.8,123.69
47,7847,370.171,0.72,132.076,57.995
48,1356,148.341,0.774,53.712,65.821
49,5074,313.557,0.649,97.046,26.301
50,35,52.345,0.161,25.02,2.291
51,1181,138.17,0.777,50.99,25.56
52,2006,194.673,0.665,68.949,160.514
53,1324,149.412,0.745,53.712,118.951
54,1734,168.088,0.771,62.008,37.794
55,1319,159.028,0.655,58.241,15.945
56,1535,188.905,0.541,80.777,15.068
,4666.553571,282.5126607,,103.2838036,
