Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,5025,329.662,0.581,130.177,27.943
2,3339,227.327,0.812,80.66,47.01
3,3338,219.592,0.87,76.694,50.29
4,2814,219.322,0.735,74.953,166.891
5,5958,339.967,0.648,121.38,39.987
6,4597,261.592,0.844,91.269,32.471
7,2908,231.484,0.682,83.487,136.941
8,3515,272.072,0.597,103.247,44.215
9,18,40.643,0.137,31.064,93.691
10,1742,159.297,0.863,62.769,22.479
11,4704,277.474,0.768,89.944,98.31
12,6613,329.876,0.764,109.836,79.509
13,8097,370.059,0.743,132.925,148.223
14,142,166.73,0.064,101.922,15.945
15,48,87.11,0.079,103.16,16.327
16,4193,265.598,0.747,101.237,23.273
17,7680,395.993,0.615,135.385,112.587
18,9404,399.786,0.739,138.495,75.362
19,20547,614.935,0.683,185.551,33.347
20,3211,222.733,0.813,86.331,71.775
21,5298,312.137,0.683,119.231,67.306
22,1600,159.852,0.787,56.4,142.927
23,29106,747.203,0.655,236.072,122.546
24,4179,244.836,0.876,82.492,96.263
25,1254,136.314,0.848,47.802,15.781
26,1496,160.543,0.729,59.775,72.474
27,11916,501.755,0.595,193.166,87.626
28,5357,296.817,0.764,108.19,81.495
29,1405,150.142,0.783,56.223,51.499
30,682,126.564,0.535,50.249,84.289
31,6353,322.538,0.767,116.709,77.631
32,4196,313.882,0.535,99.489,129.289
33,16,34.114,0.173,21.213,135
34,5878,361.268,0.566,133.147,57.265
35,10600,419.992,0.755,164.137,62.81
36,9927,464.563,0.578,161.003,112.264
37,5464,306.702,0.73,114.856,97.001
38,1748,161.693,0.84,60.877,165.735
39,8800,463.143,0.516,159.662,77.705
40,2396,198.37,0.765,73.682,82.2
41,6698,357.128,0.66,136.624,81.158
42,1499,149.317,0.845,53.254,55.713
43,5765,333.208,0.652,123.11,46.975
44,1955,167.112,0.88,58.215,85.073
45,1415,145.929,0.835,53.6,143.344
46,6891,346.385,0.722,112.259,154.12
47,5791,376.184,0.514,154.392,94.086
48,20286,589.92,0.733,193.21,87.33
49,7310,339.586,0.797,121.807,77.675
50,9601,400.992,0.75,148.661,5.404
51,5536,333.343,0.626,136.312,107.504
52,917,122.62,0.766,49.396,111.371
53,4085,256.768,0.779,91.662,173.108
54,814,112.965,0.802,45.607,52.125
55,1731,170.904,0.745,65.391,23.429
56,704,107.277,0.769,35.735,72.072
57,10619,464.388,0.619,143.684,174.408
58,9311,439.43,0.606,164.73,150.945
59,11260,423.531,0.789,149.79,32.735
60,8929,405.244,0.683,144.554,14.421
61,5008,303.902,0.681,103.47,124.765
62,2353,202.297,0.723,75.664,97.595
63,2853,236.046,0.643,88.482,145.592
64,1718,157.457,0.871,58.669,60.376
65,1387,153.053,0.744,54.562,138.715
66,879,118.289,0.789,46.69,9.866
,5316.348485,280.7114394,,102.4907727,
