Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,3697,289.653,0.554,94.847,47.564
2,385,74.083,0.882,29.069,49.185
3,1282,155.331,0.668,64.195,161.847
4,1761,175.577,0.718,66.761,163.465
5,8352,414.646,0.61,131.529,135.616
6,1016,144.184,0.614,62.936,162.429
7,3722,249.89,0.749,98.082,20.283
8,777,114.441,0.746,39.115,4.399
9,2061,189.674,0.72,62.482,140.194
10,2197,197.854,0.705,66.068,87.397
11,2585,212.658,0.718,72.062,87.614
12,3891,330.296,0.448,116.211,164.529
13,10130,415.296,0.738,140.071,136.736
14,541,87.491,0.888,33.242,68.839
15,6645,448.244,0.416,124.278,124.841
16,2652,218.537,0.698,83.241,151.28
17,5217,364.331,0.494,119.403,53.514
18,6079,391.242,0.499,120.93,124.216
19,1731,161.883,0.83,56.089,78.69
20,9604,426.847,0.662,143.694,171.193
21,6142,340.697,0.665,109.11,19.265
22,1397,163.224,0.659,61.612,76.866
23,2389,231.159,0.562,89.051,1.931
24,14334,595.474,0.508,190.465,77.569
25,1275,135.298,0.875,48.662,99.462
26,1250,147.326,0.724,54.203,37.504
27,1635,157.171,0.832,57.94,21.251
28,4012,253.912,0.782,88.255,70.128
29,2574,213.213,0.712,82.976,40.601
30,23173,727.86,0.55,233.418,167.631
31,1493,148.246,0.854,53.413,51.843
32,1919,203.503,0.582,76.322,84.738
33,4297,265.749,0.765,92.698,137.186
34,8022,475.17,0.446,155.657,144.676
35,1756,176.957,0.705,68.622,43.229
36,5634,346.901,0.588,140.982,121.661
37,2628,247.248,0.54,93.648,30.124
38,884,127.254,0.686,46.648,149.036
39,15849,648.391,0.474,229.478,149.636
40,5520,292.525,0.811,101.178,132.997
41,2690,230.968,0.634,82.329,49.927
42,5330,317.293,0.665,97.755,120.763
43,5307,390.345,0.438,134.618,154.006
44,1170,135.298,0.803,48.826,124.992
45,13981,556.766,0.567,189.169,6.374
46,4028,288.352,0.609,92.617,127.983
47,3056,240.354,0.665,94.921,41.583
48,8463,419.033,0.606,154.548,147.955
49,2261,222.868,0.572,87.132,170.754
50,928,114.766,0.885,39.115,4.399
51,10844,471.013,0.614,185.734,31.122
52,2589,212.888,0.718,74.33,137.726
53,3248,243.742,0.687,85.147,123.503
54,1431,177.013,0.574,76.903,167.229
55,1923,248.224,0.392,103.315,25.821
56,3276,264.813,0.587,91.548,173.729
57,1134,131.871,0.819,43.324,18.853
58,3905,286.186,0.599,107.079,168.69
59,3953,294.437,0.573,126.289,20.875
60,999,133.172,0.708,49.769,67.557
61,2349,232,0.548,97.309,22.348
62,2254,202.678,0.69,82.098,177.207
63,1217,136.599,0.82,50.922,19.502
,4235.619048,268.4145238,,95.13396825,
