Label,Area,Perimeter,Circularity,MaxFeretDiam,MaxFeretDiamAngle
1,2954,288.217,0.447,125.925,124.321
2,9378,466.015,0.543,208,157.38
3,124,127.388,0.096,77.369,75.784
4,1889,180.536,0.728,66.219,51.746
5,36,71.021,0.09,66.31,66.915
6,23652,698.919,0.608,218.577,124.563
7,863,137.52,0.573,57.271,167.905
8,642,98.217,0.836,34.67,33.232
9,12100,444.793,0.769,162.607,129.76
10,1486,203.598,0.45,91.389,156.801
11,3240,312.581,0.417,127.142,150.814
12,4504,270.866,0.771,105.513,165.174
13,2007,176.188,0.812,67.941,137.386
14,2148,191.071,0.739,75.584,154.113
15,2726,254.658,0.528,114.14,168.887
,4516.6,261.4392,,106.5771333,
